question	gold	predicted	correct	predicted probabilities
question 285	3	2	0	[8.4673244e-05 2.2408229e-03 5.4959971e-01 4.4735178e-01 7.2297582e-04]
question 286	3	3	1	[2.4766469e-04 1.7209215e-05 4.3466691e-05 9.0813214e-01 9.1559514e-02]
question 287	1	1	1	[5.3493388e-02 9.3645471e-01 2.9868199e-04 7.6916578e-05 9.6762311e-03]
question 288	3	3	1	[0.08879199 0.06077743 0.08673577 0.70041066 0.06328416]
question 289	0	0	1	[9.9990737e-01 3.2918582e-05 6.2384338e-06 2.0552767e-05 3.2962565e-05]
question 290	1	1	1	[0.00847058 0.7950569  0.17256473 0.01266573 0.011242  ]
question 291	3	3	1	[0.01731536 0.00082634 0.13476159 0.7810281  0.06606862]
question 292	3	3	1	[0.3188977  0.10958827 0.20555007 0.3303865  0.03557742]
question 293	3	3	1	[0.06489822 0.2800178  0.07158762 0.44479695 0.13869943]
question 294	4	4	1	[5.3361006e-02 4.2717658e-02 2.5142979e-05 9.6563956e-05 9.0379959e-01]
question 295	0	0	1	[9.7770751e-01 5.3004734e-03 1.3120969e-02 2.4384305e-04 3.6272942e-03]
question 296	3	2	0	[0.02110036 0.00810852 0.5970011  0.3638424  0.00994765]
question 297	0	0	1	[0.65297645 0.3068994  0.01866528 0.0085945  0.01286432]
question 298	3	3	1	[5.5457847e-05 6.4008101e-04 3.2054132e-04 9.9537623e-01 3.6076584e-03]
question 299	4	4	1	[0.3577473  0.01663848 0.08239345 0.03379644 0.5094244 ]
question 300	1	1	1	[0.10308983 0.30502272 0.15100436 0.25232166 0.18856147]
question 301	1	3	0	[0.01830155 0.18495904 0.22578272 0.4386688  0.13228792]
question 302	3	3	1	[0.21176825 0.01404795 0.04264944 0.6827089  0.04882533]
question 303	1	1	1	[0.06085177 0.8554335  0.02206776 0.04947729 0.01216971]
question 304	4	4	1	[3.3100389e-04 1.2308958e-03 1.2200235e-03 5.2805492e-03 9.9193746e-01]
question 305	1	1	1	[0.04447458 0.44128245 0.11254098 0.3819058  0.01979629]
question 306	0	0	1	[9.9244261e-01 1.9606363e-03 1.9758856e-03 6.5604452e-04 2.9649495e-03]
question 307	2	2	1	[0.00104797 0.00215056 0.78328747 0.0014919  0.21202195]
question 308	0	0	1	[0.87862885 0.00105562 0.00231418 0.11593076 0.00207063]
question 309	3	4	0	[0.12367845 0.16128458 0.33267754 0.04008881 0.3422706 ]
question 310	2	2	1	[2.5256513e-05 1.0272429e-03 9.9659473e-01 1.5501057e-03 8.0265681e-04]
question 311	3	3	1	[0.02133332 0.02403849 0.04720194 0.86265075 0.04477552]
question 312	3	3	1	[0.04065695 0.23478264 0.3165594  0.36509222 0.04290883]
question 313	3	3	1	[2.9436911e-02 4.3158676e-03 2.1495557e-04 9.6590912e-01 1.2306927e-04]
question 314	2	2	1	[0.00804411 0.00259243 0.9242603  0.06149785 0.00360527]
question 315	1	1	1	[7.7787777e-03 9.9010158e-01 1.7404519e-03 1.8814123e-04 1.9114651e-04]
question 316	2	3	0	[0.0294554  0.36747518 0.14243585 0.4408532  0.01978028]
question 317	0	3	0	[4.0911987e-02 8.2840370e-03 1.9287789e-05 9.5072931e-01 5.5418379e-05]
question 318	4	4	1	[0.02535778 0.15773663 0.28346908 0.10531439 0.42812213]
question 319	4	4	1	[7.5026433e-04 1.9606552e-04 1.6455058e-04 8.0597849e-04 9.9808311e-01]
question 320	1	1	1	[0.08288106 0.6075535  0.03289316 0.263882   0.0127903 ]
question 321	2	2	1	[0.09907243 0.05133437 0.5043981  0.3145856  0.03060952]
question 322	3	3	1	[0.0292098  0.04614118 0.02113936 0.8684376  0.0350721 ]
question 323	0	1	0	[0.03797788 0.8787756  0.05726798 0.01395004 0.01202853]
question 324	2	0	0	[0.8002891  0.02088276 0.13213731 0.02140401 0.0252868 ]
question 325	2	1	0	[0.09935857 0.37054646 0.36384663 0.06529266 0.10095575]
question 326	0	0	1	[0.76495135 0.04628674 0.07302336 0.00204946 0.11368904]
question 327	4	4	1	[0.23791197 0.22939417 0.19339179 0.08017832 0.25912374]
question 328	1	1	1	[1.0220681e-03 7.2709548e-01 6.9316407e-04 2.9783418e-02 2.4140587e-01]
question 329	3	3	1	[0.12781323 0.1507456  0.0127252  0.69701326 0.0117027 ]
question 330	0	0	1	[9.9650490e-01 3.7939869e-06 6.5033337e-06 2.2180120e-06 3.4825781e-03]
question 331	3	1	0	[4.9821445e-04 9.0135276e-01 8.2615961e-04 9.6323617e-02 9.9913613e-04]
question 332	1	1	1	[0.01043766 0.84708804 0.05025395 0.00998054 0.08223978]
question 333	4	4	1	[0.14872542 0.31589755 0.06106149 0.00859345 0.4657221 ]
question 334	4	3	0	[0.00511816 0.00372921 0.00130349 0.49520415 0.49464503]
question 335	1	1	1	[3.8980422e-04 9.9794120e-01 5.6188146e-04 4.8081958e-04 6.2621286e-04]
question 336	4	4	1	[9.4321244e-05 2.5415723e-03 1.8789262e-03 6.2358173e-05 9.9542278e-01]
question 337	3	3	1	[1.3991563e-04 3.1750130e-03 7.9147831e-05 9.9610585e-01 5.0007709e-04]
question 338	2	0	0	[0.49921077 0.00893486 0.47761196 0.00676926 0.0074732 ]
question 339	1	0	0	[0.44656545 0.36536554 0.11090715 0.01435219 0.06280969]
question 340	3	3	1	[2.5908895e-02 2.2431047e-04 2.6354572e-04 9.4672114e-01 2.6882080e-02]
question 341	0	0	1	[0.9709905  0.00588091 0.00723443 0.00865604 0.00723816]
question 342	4	4	1	[3.6591134e-04 1.5504318e-04 5.2794022e-03 1.2604386e-05 9.9418700e-01]
question 343	1	4	0	[0.02067046 0.09244524 0.01759066 0.40663865 0.462655  ]
question 344	2	2	1	[0.00235648 0.00331588 0.98822194 0.00329987 0.00280593]
question 345	0	0	1	[0.9628249  0.00968061 0.01760538 0.0054166  0.0044726 ]
question 346	3	3	1	[0.00194457 0.00433017 0.00485689 0.95528764 0.03358071]
question 347	4	4	1	[0.23955467 0.03170017 0.05695285 0.05919119 0.6126011 ]
question 348	3	3	1	[0.00724341 0.08498794 0.03640613 0.8622926  0.00907   ]
question 349	1	1	1	[9.5186830e-03 9.0283585e-01 8.5807256e-02 7.8441115e-04 1.0539005e-03]
question 350	0	1	0	[0.10553116 0.7810535  0.018178   0.01458672 0.08065064]
question 351	0	0	1	[0.5825237  0.2961298  0.02287986 0.02404258 0.07442413]
question 352	3	3	1	[0.00905579 0.11796803 0.03131105 0.807443   0.03422208]
question 353	0	0	1	[9.8798043e-01 2.2546831e-03 2.0632508e-05 2.1241177e-03 7.6201325e-03]
question 354	2	2	1	[0.00369503 0.03939267 0.92598486 0.01342109 0.01750636]
question 355	4	3	0	[9.8156408e-05 8.1493380e-03 9.0098125e-05 9.9148983e-01 1.7260583e-04]
question 356	0	2	0	[0.04952707 0.03104402 0.7145059  0.15916295 0.04576008]
question 357	1	1	1	[2.7108879e-03 9.9201077e-01 6.8008003e-04 4.2554727e-03 3.4274717e-04]
question 358	4	4	1	[1.3991794e-02 6.3329362e-03 3.5352260e-02 6.1043618e-05 9.4426197e-01]
question 359	1	0	0	[0.3082854  0.19926505 0.04891242 0.2160802  0.227457  ]
question 360	3	3	1	[0.09133701 0.05261008 0.31088725 0.5417357  0.00342996]
question 361	2	1	0	[0.20595272 0.6009311  0.14265043 0.01728602 0.03317973]
question 362	1	1	1	[0.00595261 0.933515   0.02016186 0.01967905 0.02069156]
question 363	1	1	1	[0.05511919 0.7556102  0.06824272 0.07161904 0.04940876]
question 364	1	1	1	[9.6055586e-04 9.9390429e-01 1.6913629e-03 2.9038328e-03 5.3992408e-04]
question 365	4	1	0	[0.22529931 0.27235687 0.17372651 0.11307716 0.21554008]
question 366	4	4	1	[2.9398510e-04 8.3044736e-04 1.2405609e-02 7.3019317e-03 9.7916806e-01]
question 367	0	0	1	[0.9746534  0.00455204 0.00675813 0.00387531 0.01016105]
question 368	0	0	1	[9.9974436e-01 3.1026964e-06 1.0588748e-06 6.3697538e-05 1.8786205e-04]
question 369	1	1	1	[6.5219536e-04 8.8609505e-01 6.5561049e-02 4.6904091e-02 7.8766700e-04]
question 370	0	0	1	[9.8289055e-01 1.5655192e-04 1.3233763e-03 1.5517409e-02 1.1213513e-04]
question 371	1	1	1	[0.03394569 0.68688357 0.04718316 0.1882431  0.04374444]
question 372	3	3	1	[2.0284230e-04 5.5239518e-04 3.2870122e-03 9.9546945e-01 4.8834510e-04]
question 373	2	2	1	[0.00267065 0.16401616 0.80930585 0.00272501 0.0212824 ]
question 374	4	2	0	[0.04524139 0.01099905 0.68256336 0.2134776  0.04771864]
question 375	4	4	1	[4.4415158e-04 1.5468048e-03 9.9109369e-05 9.2718092e-04 9.9698275e-01]
question 376	0	0	1	[0.89946806 0.04350089 0.05171333 0.00300811 0.00230976]
question 377	2	2	1	[0.22122914 0.01675897 0.48045656 0.12106936 0.16048598]
question 378	2	3	0	[0.009856   0.06344869 0.21065812 0.66237897 0.05365817]
question 379	1	1	1	[0.00719007 0.8586146  0.00109744 0.00187604 0.13122179]
question 380	1	4	0	[4.44600545e-03 1.06795676e-01 1.25487582e-04 1.38212997e-03 8.87250721e-01]
question 381	3	3	1	[0.00301772 0.00575016 0.00257397 0.98454016 0.004118  ]
question 382	0	0	1	[0.85904354 0.00694344 0.00652637 0.11583702 0.01164975]
question 383	1	3	0	[0.08596531 0.0877254  0.03231572 0.48127168 0.31272185]
question 384	2	2	1	[0.10719106 0.02734276 0.74385065 0.07813202 0.04348353]
question 385	1	4	0	[0.3315131  0.24720271 0.02280988 0.0069441  0.39153013]
question 386	4	0	0	[0.27860072 0.11480388 0.12338787 0.21611676 0.26709077]
question 387	4	1	0	[0.11692824 0.5903921  0.04316102 0.07244108 0.17707755]
question 388	3	3	1	[0.05212006 0.00515642 0.00758438 0.92847335 0.00666572]
question 389	3	3	1	[3.2889974e-04 8.9512563e-05 3.9670970e-02 9.5988566e-01 2.5002264e-05]
question 390	1	1	1	[0.04775612 0.80124366 0.13910769 0.0033145  0.00857794]
question 391	2	2	1	[1.4481366e-04 1.2829932e-02 9.8658711e-01 2.2020377e-04 2.1794572e-04]
question 392	0	0	1	[0.7349369  0.09535316 0.00614709 0.01115564 0.15240718]
question 393	0	0	1	[9.9608374e-01 1.2202654e-03 2.6171391e-03 2.9056242e-05 4.9771348e-05]
question 394	4	4	1	[5.1214488e-04 2.9035024e-03 1.4465885e-03 9.7023178e-04 9.9416757e-01]
question 395	1	1	1	[4.2631997e-05 9.3915039e-01 5.9009187e-02 1.1553718e-04 1.6822774e-03]
question 396	0	0	1	[0.5105515  0.401911   0.0034289  0.08131756 0.00279109]
question 397	4	4	1	[0.02589744 0.01465747 0.00502768 0.01412714 0.9402903 ]
question 398	0	0	1	[0.6967112  0.29234964 0.00785067 0.00209842 0.0009901 ]
question 399	2	2	1	[2.8772105e-04 5.2218669e-04 9.9487251e-01 6.2996475e-04 3.6875531e-03]
question 400	1	1	1	[1.7193366e-04 9.9826282e-01 1.2443234e-03 2.2008798e-04 1.0090902e-04]
question 401	3	3	1	[0.01001273 0.00292768 0.00569874 0.97858125 0.00277961]
question 402	1	1	1	[8.3356917e-06 9.9974006e-01 2.3388519e-04 1.0909155e-06 1.6721981e-05]
question 403	4	4	1	[0.20691678 0.02047539 0.03722567 0.04263873 0.6927435 ]
question 404	3	3	1	[1.8268754e-03 4.1532014e-02 2.5505477e-04 9.5629048e-01 9.5520023e-05]
question 405	1	1	1	[0.01568897 0.8548717  0.00571326 0.12178719 0.00193887]
question 406	0	0	1	[0.4655459  0.14536774 0.20374908 0.16913538 0.01620191]
question 407	1	1	1	[9.5640520e-05 9.9802339e-01 5.9925300e-05 1.7842869e-03 3.6708363e-05]
question 408	2	4	0	[0.00276169 0.00526536 0.25579116 0.002854   0.73332775]
question 409	4	2	0	[0.01251303 0.00224958 0.9114367  0.01367752 0.06012315]
question 410	3	3	1	[0.00834204 0.00395973 0.02993579 0.95472044 0.0030421 ]
question 411	1	1	1	[0.25671828 0.57147133 0.01739653 0.14936218 0.00505166]
question 412	1	1	1	[0.00771271 0.85346824 0.09450934 0.02282891 0.02148074]
question 413	1	4	0	[0.0112823  0.1530798  0.06228852 0.0085078  0.76484156]
question 414	0	2	0	[0.03994215 0.02453991 0.6885134  0.22507824 0.02192637]
question 415	4	4	1	[5.6380068e-04 3.3750646e-02 6.9527858e-04 4.4835734e-04 9.6454197e-01]
question 416	4	4	1	[0.11305726 0.03905746 0.03772819 0.32838774 0.48176938]
question 417	4	4	1	[2.4797750e-04 6.4412823e-05 2.6066104e-04 5.8990550e-05 9.9936801e-01]
question 418	3	3	1	[0.02799939 0.0922303  0.14369646 0.54217833 0.19389547]
question 419	1	1	1	[0.02480018 0.7902383  0.03065509 0.13474764 0.01955873]
question 420	4	4	1	[0.07651509 0.05138917 0.08831528 0.157492   0.62628853]
question 421	3	3	1	[0.06953102 0.2527041  0.07113784 0.5939715  0.01265556]
question 422	3	3	1	[0.18492131 0.05191244 0.02710377 0.67333436 0.06272806]
question 423	1	1	1	[0.05235317 0.5355613  0.15275678 0.10596754 0.1533612 ]
question 424	3	3	1	[0.3000153  0.00317168 0.31930512 0.32838625 0.04912169]
question 425	2	2	1	[6.4470042e-03 7.3411531e-04 9.8384053e-01 2.3380541e-03 6.6402899e-03]
question 426	4	4	1	[0.13657612 0.02444464 0.03234708 0.07142736 0.7352048 ]
question 427	2	2	1	[2.4713617e-04 2.9060794e-03 9.9591857e-01 7.1261101e-04 2.1572238e-04]
question 428	3	3	1	[0.00399522 0.0047053  0.00118697 0.9854526  0.00465991]
question 429	1	1	1	[0.15323165 0.34177992 0.22975859 0.06642814 0.2088018 ]
question 430	0	0	1	[0.62448096 0.01395866 0.24969183 0.09877495 0.01309361]
question 431	0	0	1	[0.74653524 0.0634106  0.04223751 0.07658704 0.07122967]
question 432	2	4	0	[0.21248102 0.12453581 0.14197393 0.10558118 0.415428  ]
question 433	3	3	1	[0.00263461 0.09889016 0.01322372 0.8831153  0.00213625]
question 434	2	2	1	[0.02243782 0.05329655 0.8061473  0.03949807 0.07862025]
question 435	0	0	1	[0.9608921  0.00744618 0.01630206 0.00766826 0.00769147]
question 436	3	4	0	[0.03720848 0.11606506 0.1505874  0.2857444  0.4103947 ]
question 437	0	0	1	[0.931087   0.01966879 0.00351279 0.01268094 0.03305036]
question 438	3	3	1	[0.0893463  0.17540006 0.07082356 0.5120968  0.15233321]
question 439	2	2	1	[0.00102681 0.37035462 0.6228493  0.00165537 0.00411383]
question 440	2	2	1	[0.03331326 0.02160247 0.83618075 0.02441256 0.08449095]
question 441	1	1	1	[4.6609949e-02 9.4953448e-01 3.8231015e-03 3.5187311e-06 2.8958222e-05]
question 442	2	2	1	[8.1791019e-05 1.8222851e-03 9.9791878e-01 8.5534884e-05 9.1572852e-05]
question 443	2	2	1	[0.00120959 0.03387113 0.95308304 0.00652667 0.00530949]
question 444	0	4	0	[0.01035762 0.01860089 0.01368367 0.01616483 0.9411929 ]
question 445	1	2	0	[0.00753764 0.18479992 0.6095752  0.02650546 0.17158175]
question 446	2	2	1	[0.2798597  0.06035252 0.5945927  0.05107546 0.01411963]
question 447	3	3	1	[0.00148403 0.009474   0.00449627 0.98261374 0.00193198]
question 448	3	3	1	[5.9906789e-04 3.1691880e-04 4.5196066e-04 9.9834180e-01 2.9024613e-04]
question 449	0	0	1	[0.95512414 0.01574703 0.00733385 0.01251746 0.00927748]
question 450	1	1	1	[0.31698197 0.5462745  0.03547964 0.04095461 0.06030932]
question 451	0	0	1	[0.5838868  0.14951037 0.22996387 0.0249144  0.01172452]
question 452	3	3	1	[0.03870859 0.02259525 0.37791896 0.5414136  0.01936358]
question 453	0	0	1	[0.64603686 0.06735271 0.08113081 0.16371427 0.04176533]
question 454	3	3	1	[2.0409860e-03 9.8932818e-05 2.9598991e-04 9.9723226e-01 3.3183582e-04]
question 455	0	0	1	[6.8510377e-01 4.0890163e-04 1.4939180e-03 8.5925773e-02 2.2706763e-01]
question 456	0	0	1	[9.9722338e-01 7.0337777e-04 1.8196559e-04 4.2236607e-05 1.8489787e-03]
question 457	3	3	1	[0.01506802 0.01211774 0.0067401  0.94136107 0.0247131 ]
question 458	0	3	0	[0.19165008 0.13978453 0.0854521  0.48052502 0.10258821]
question 459	2	2	1	[3.9088505e-04 6.1012077e-04 9.9117041e-01 4.3869222e-05 7.7847843e-03]
question 460	1	1	1	[0.00338395 0.98635626 0.00171346 0.00422186 0.00432456]
question 461	4	4	1	[1.12366935e-04 6.06546528e-05 6.83143298e-05 6.70928130e-05 9.99691606e-01]
question 462	3	3	1	[0.017118   0.0234628  0.06058989 0.88681346 0.01201578]
question 463	3	1	0	[0.01055115 0.42211786 0.17737982 0.22218804 0.16776319]
question 464	2	2	1	[0.01268576 0.0210618  0.8766446  0.02141797 0.06818987]
question 465	3	3	1	[1.9339999e-03 4.8824522e-06 2.6902746e-04 9.9777114e-01 2.0959344e-05]
question 466	1	1	1	[0.00850497 0.9823548  0.00340696 0.00200172 0.00373155]
question 467	2	1	0	[0.00258549 0.53323174 0.4577167  0.00506581 0.00140027]
question 468	4	4	1	[7.1142847e-04 8.5071923e-04 2.3039305e-03 3.8537002e-04 9.9574858e-01]
question 469	2	2	1	[2.0380316e-05 3.7841193e-05 9.9993753e-01 1.5403388e-06 2.6928906e-06]
question 470	4	4	1	[4.7637626e-05 1.5139113e-05 7.4930817e-06 3.6398376e-06 9.9992609e-01]
question 471	0	0	1	[9.5468360e-01 4.2684793e-02 1.3969872e-04 1.0724515e-03 1.4195287e-03]
question 472	0	0	1	[0.71669006 0.11591018 0.05886873 0.03635565 0.07217537]
question 473	2	2	1	[1.9964613e-05 1.5497679e-03 9.9836975e-01 1.4584681e-05 4.5907680e-05]
question 474	3	3	1	[0.03665706 0.04443562 0.02159008 0.8075785  0.08973868]
question 475	3	4	0	[0.09033441 0.00068948 0.00185115 0.27118108 0.6359439 ]
question 476	4	4	1	[0.00918586 0.1336473  0.1870635  0.01458566 0.65551776]
question 477	1	1	1	[7.5167732e-06 9.9929130e-01 1.7385724e-05 5.1843259e-04 1.6538464e-04]
question 478	1	1	1	[0.03508868 0.91217583 0.03343369 0.00381077 0.01549099]
question 479	2	2	1	[2.2728569e-04 1.3138541e-02 9.8024637e-01 6.3573290e-03 3.0550422e-05]
question 480	1	1	1	[2.6477259e-01 7.0575130e-01 1.4684612e-02 1.4188965e-02 6.0258945e-04]
question 481	0	0	1	[9.2526126e-01 1.1779316e-05 1.9294990e-03 7.2768159e-02 2.9312579e-05]
question 482	4	4	1	[0.01075527 0.01706962 0.01892112 0.01155024 0.9417037 ]
question 483	4	4	1	[2.5071481e-03 2.0706602e-03 2.8074149e-03 2.2513830e-04 9.9238962e-01]
question 484	3	3	1	[1.69724211e-04 1.06463114e-04 1.41487297e-04 9.99358118e-01 2.24199903e-04]
question 485	0	0	1	[8.3561969e-01 7.8196666e-04 1.4961496e-01 5.4687064e-04 1.3436484e-02]
question 486	3	3	1	[1.8848237e-03 1.1256550e-03 5.5259903e-04 9.9460584e-01 1.8311482e-03]
question 487	0	0	1	[9.6082407e-01 1.3581829e-02 1.0624591e-03 2.4262972e-02 2.6875010e-04]
question 488	3	3	1	[2.2991740e-05 3.4614186e-06 4.4741018e-06 8.3159113e-01 1.6837794e-01]
question 489	4	4	1	[7.5424771e-04 1.0739596e-03 7.2150974e-04 8.0158265e-04 9.9664873e-01]
question 490	0	2	0	[0.04748919 0.35746253 0.48029006 0.10123435 0.01352384]
question 491	3	1	0	[0.08067998 0.4348107  0.15202354 0.1021795  0.23030628]
question 492	3	3	1	[4.9525085e-03 2.1881290e-04 1.3807268e-04 9.9463499e-01 5.5614611e-05]
question 493	0	0	1	[0.90065867 0.0177403  0.02743832 0.03033416 0.0238285 ]
question 494	1	1	1	[0.01179759 0.5364982  0.22221151 0.01374724 0.21574554]
question 495	2	1	0	[0.00858047 0.84137356 0.04167934 0.09313613 0.01523049]
question 496	0	0	1	[6.5798873e-01 3.3846483e-01 1.3812542e-03 1.8598882e-03 3.0538894e-04]
question 497	4	4	1	[0.00181694 0.00788411 0.00854728 0.09139583 0.8903559 ]
question 498	4	4	1	[0.12196529 0.06343319 0.00350801 0.01122911 0.79986435]
question 499	2	3	0	[0.04895505 0.20711762 0.05358706 0.6400724  0.05026782]
question 500	0	0	1	[0.57601184 0.01937129 0.36225724 0.02831834 0.01404132]
question 501	1	1	1	[0.06345722 0.702881   0.14086345 0.04500147 0.04779691]
question 502	2	2	1	[7.5738882e-03 1.6247797e-04 9.9123889e-01 6.0440472e-04 4.2028850e-04]
question 503	1	1	1	[0.18166865 0.77868056 0.03037422 0.00135055 0.00792602]
question 504	4	1	0	[0.23616906 0.24177569 0.23239946 0.11331677 0.176339  ]
question 505	1	1	1	[0.08108726 0.3889704  0.1966182  0.16446365 0.16886044]
question 506	1	1	1	[1.4885085e-05 9.7046298e-01 5.1375467e-04 2.8981742e-02 2.6652349e-05]
question 507	4	4	1	[0.06073367 0.03530355 0.27439037 0.00657807 0.62299436]
question 508	1	1	1	[0.48871794 0.5023875  0.0057736  0.00155716 0.00156376]
question 509	4	4	1	[0.00729768 0.34064773 0.03461557 0.23669639 0.38074264]
question 510	4	4	1	[1.2297742e-04 1.6511842e-03 1.0811399e-03 1.1595310e-04 9.9702877e-01]
question 511	0	0	1	[0.9218065  0.02902816 0.01734087 0.02821804 0.00360637]
question 512	1	1	1	[0.0210012  0.7442832  0.0213279  0.21100616 0.0023815 ]
question 513	2	2	1	[5.7378169e-05 7.5693808e-02 9.0166503e-01 1.4359250e-03 2.1147970e-02]
question 514	2	2	1	[0.0258535  0.05423403 0.8501679  0.00950879 0.06023587]
question 515	2	2	1	[7.9149730e-04 1.0802149e-04 9.9287897e-01 1.1419709e-03 5.0796070e-03]
question 516	0	0	1	[8.5224801e-01 9.6765622e-02 8.4504893e-04 4.1665100e-03 4.5974784e-02]
question 517	3	3	1	[0.00118801 0.00179281 0.00195906 0.9928844  0.00217571]
question 518	4	4	1	[0.0224286  0.01814672 0.0490288  0.06997693 0.84041893]
question 519	3	2	0	[4.5932733e-04 1.3020089e-04 9.4485629e-01 5.4511193e-02 4.2999789e-05]
question 520	3	3	1	[5.5462825e-03 1.0879415e-01 7.9258785e-02 8.0607212e-01 3.2866228e-04]
question 521	1	1	1	[1.9909262e-03 9.9507540e-01 4.0992443e-04 5.4136378e-04 1.9823331e-03]
question 522	3	3	1	[4.8775231e-03 1.7922129e-02 4.8266137e-03 9.7218633e-01 1.8742596e-04]
question 523	2	0	0	[0.7643685  0.01627207 0.11413886 0.07428957 0.03093103]
question 524	3	3	1	[2.7683573e-05 4.1404492e-03 7.5258777e-07 9.9582446e-01 6.6365083e-06]
question 525	3	2	0	[1.6208616e-04 4.1114879e-03 8.6353093e-01 1.3217580e-01 1.9673937e-05]
question 526	1	1	1	[0.02923515 0.95982814 0.0020927  0.00298231 0.00586178]
question 527	3	3	1	[0.05419232 0.03757694 0.23196231 0.66682124 0.00944713]
question 528	0	0	1	[9.3446654e-01 7.8463876e-05 2.7058916e-02 3.4148764e-02 4.2473380e-03]
question 529	2	2	1	[5.6714169e-04 8.1738301e-02 8.9201415e-01 8.6193979e-03 1.7060993e-02]
question 530	4	4	1	[2.4080088e-03 9.1724275e-03 1.8302819e-02 7.7228458e-04 9.6934444e-01]
question 531	0	0	1	[0.8175546  0.13299423 0.00551309 0.00931921 0.03461879]
question 532	3	1	0	[5.9267163e-04 9.9356866e-01 1.5879414e-03 1.7574169e-04 4.0748585e-03]
question 533	4	4	1	[0.02531239 0.43800718 0.02209358 0.01660746 0.49797937]
question 534	0	0	1	[0.57132494 0.0829007  0.03769911 0.04011355 0.26796177]
question 535	2	2	1	[0.20782033 0.17570953 0.21928938 0.18970825 0.20747255]
question 536	1	4	0	[0.16468066 0.21253152 0.19934383 0.18960658 0.23383743]
question 537	4	1	0	[0.18579274 0.2918902  0.18503624 0.16276784 0.17451295]
question 538	2	0	0	[0.5452352  0.06828849 0.22732262 0.06099695 0.09815674]
question 539	4	4	1	[0.04356346 0.09172291 0.05298073 0.01251167 0.7992213 ]
question 540	1	1	1	[0.0026231  0.98733586 0.00309286 0.00230836 0.00463983]
question 541	3	3	1	[3.7988022e-05 1.9622286e-04 6.1652536e-05 9.9944335e-01 2.6086124e-04]
question 542	2	2	1	[4.9649249e-03 3.6946065e-03 9.9084198e-01 3.1464873e-04 1.8375507e-04]
question 543	0	0	1	[0.77621555 0.19833781 0.02083822 0.00378185 0.00082654]
question 544	0	0	1	[0.8029451  0.00818318 0.04097535 0.00228697 0.14560936]
question 545	2	2	1	[0.00501319 0.1734439  0.45753536 0.07338876 0.29061887]
question 546	3	3	1	[5.431689e-06 4.790316e-07 2.395843e-06 9.999895e-01 2.121883e-06]
question 547	4	4	1	[1.6316165e-04 2.8085473e-01 4.8809443e-03 1.2639780e-04 7.1397477e-01]
question 548	3	2	0	[7.2748680e-04 2.5294214e-03 9.8901367e-01 4.0342556e-03 3.6952051e-03]
question 549	2	2	1	[6.8982079e-04 2.9435381e-04 9.9654007e-01 2.2661122e-03 2.0950170e-04]
question 550	1	1	1	[2.9424916e-04 8.9744270e-01 7.2607567e-04 2.6171787e-02 7.5365201e-02]
question 551	4	4	1	[5.2384706e-04 3.1751473e-02 2.7623960e-01 5.2014853e-05 6.9143301e-01]
question 552	1	2	0	[0.17397398 0.2447637  0.26111805 0.09345043 0.22669375]
question 553	1	1	1	[0.12457749 0.6384969  0.04623121 0.11951442 0.07118005]
question 554	1	1	1	[4.3423883e-05 9.8942697e-01 5.4550460e-03 2.9733506e-04 4.7772536e-03]
question 555	3	1	0	[3.4294894e-03 5.5636311e-01 1.5797134e-02 4.2427635e-01 1.3396738e-04]
question 556	0	0	1	[9.9241263e-01 1.9469345e-03 4.3707211e-03 3.7403320e-04 8.9554884e-04]
question 557	3	3	1	[4.8964545e-02 5.8036332e-04 6.7215541e-07 9.5045298e-01 1.3512240e-06]
question 558	1	1	1	[6.2354114e-03 9.6801633e-01 9.2078829e-03 1.6538836e-02 1.5293770e-06]
question 559	4	4	1	[0.10803652 0.0905929  0.13264836 0.0312064  0.63751584]
question 560	4	4	1	[0.00635344 0.02318662 0.03316178 0.2183099  0.7189882 ]
question 561	4	4	1	[4.0216365e-01 2.3085626e-03 2.6604420e-04 4.3755667e-03 5.9088612e-01]
question 562	0	4	0	[3.6785924e-01 5.2509404e-04 5.7792861e-04 2.6117193e-03 6.2842602e-01]
question 563	1	4	0	[0.05162968 0.2917749  0.06343561 0.17146903 0.4216908 ]
question 564	1	1	1	[0.02683523 0.69366044 0.07227959 0.0883349  0.11888978]
question 565	4	4	1	[0.00786126 0.05292973 0.00970694 0.01084115 0.91866094]
question 566	3	3	1	[0.35949466 0.01681824 0.16920368 0.41755494 0.03692842]
question 567	2	2	1	[0.02068116 0.01372288 0.89986795 0.03371689 0.03201111]
question 568	4	2	0	[0.07710438 0.07074924 0.39004266 0.3649542  0.0971495 ]
question 569	1	1	1	[4.5605373e-04 9.9451882e-01 4.4678204e-04 1.2169433e-03 3.3612545e-03]
question 570	1	1	1	[0.04803899 0.87817687 0.00818913 0.0137981  0.05179689]
question 571	1	3	0	[0.0019968  0.26327243 0.00107674 0.73264027 0.00101371]
question 572	3	3	1	[0.29426232 0.03812198 0.02550522 0.60085833 0.04125217]
question 573	4	4	1	[2.5190359e-01 8.7382801e-02 4.3929258e-04 7.8127295e-04 6.5949309e-01]
question 574	1	1	1	[0.08040702 0.7468002  0.05759645 0.01047737 0.10471883]
question 575	3	3	1	[0.09536839 0.07800236 0.3031714  0.4822621  0.04119575]
question 576	3	3	1	[0.00307143 0.03045014 0.01492664 0.9023024  0.0492494 ]
